wrist_roll_L,wrist_roll_F,grip_L,grip_F,raw_L,raw_F
4.5,4.8,36.3,35.8,2495,1410
4.5,4.8,36.2,35.8,2496,1410
4.5,4.8,36.1,35.8,2498,1410
4.5,4.8,36.1,35.8,2498,1410
4.4,4.8,36.1,35.8,2498,1410
4.2,4.8,35.9,35.8,2501,1410
3.8,4.8,35.6,35.8,2506,1410
3.4,4.7,35.5,35.7,2508,1409
2.9,4.6,35.5,35.7,2508,1409
2.2,4.4,35.5,35.7,2508,1409
1.4,4.1,35.5,35.7,2508,1409
0.7,3.6,35.5,35.7,2508,1409
-0.2,3.1,35.5,35.7,2508,1409
-0.8,2.5,35.5,35.7,2508,1409
-1.6,1.8,35.5,35.7,2508,1409
-2.2,1.2,35.5,35.7,2508,1409
-2.6,0.5,35.5,35.7,2508,1409
-2.9,-0.2,35.5,35.7,2508,1409
-3.1,-0.9,35.5,35.7,2508,1409
-3.2,-1.5,35.1,35.7,2514,1409
-3.2,-2.0,34.9,35.7,2517,1409
-3.2,-2.4,34.9,35.5,2517,1406
-3.2,-2.7,34.9,35.5,2517,1406
-3.2,-2.8,34.9,35.5,2517,1406
-3.2,-3.0,34.9,35.5,2517,1406
-3.2,-3.0,34.9,35.5,2517,1406
-3.2,-3.1,34.9,35.5,2517,1406
-3.1,-3.1,34.9,35.5,2517,1406
-3.1,-3.1,34.9,35.5,2517,1406
-3.1,-3.1,34.9,35.5,2517,1406
-3.1,-3.1,34.9,35.5,2517,1406
-3.1,-3.1,34.9,35.5,2517,1406
-3.1,-3.1,35.0,35.5,2516,1406
-3.1,-3.1,35.0,35.5,2515,1406
-3.1,-3.1,35.2,35.5,2512,1406
-3.1,-3.1,35.3,35.5,2510,1406
-3.1,-3.1,35.3,35.5,2510,1406
-3.1,-3.1,35.3,35.5,2510,1406
-3.1,-3.1,35.3,35.5,2510,1406
-3.1,-3.1,35.3,35.5,2510,1406
-3.1,-3.1,35.3,35.5,2510,1406
-3.1,-3.1,35.3,35.5,2510,1406
-3.2,-3.1,35.3,35.5,2509,1406
-3.2,-3.1,35.3,35.5,2510,1406
-3.2,-3.1,35.3,35.5,2510,1406
-3.3,-3.1,35.3,35.5,2510,1407
-3.4,-3.1,35.3,35.6,2510,1406
-3.4,-3.1,35.3,35.5,2510,1406
-3.5,-3.1,35.3,35.5,2510,1406
-3.5,-3.2,35.3,35.5,2510,1406
-3.6,-3.2,35.3,35.5,2510,1406
-3.7,-3.2,35.3,35.5,2509,1406
-3.9,-3.2,35.3,35.5,2510,1406
-4.2,-3.3,35.3,35.5,2510,1406
-4.5,-3.4,35.3,35.5,2510,1406
-4.9,-3.5,35.3,35.5,2510,1406
-5.3,-3.7,35.3,35.5,2510,1406
-5.8,-4.0,35.3,35.5,2510,1407
-6.3,-4.3,35.3,35.6,2510,1407
-6.7,-4.7,35.3,35.5,2510,1406
-7.1,-5.1,35.3,35.5,2510,1406
-7.4,-5.5,35.3,35.5,2510,1406
-7.6,-5.9,35.3,35.5,2510,1406
-7.7,-6.4,35.3,35.5,2510,1406
-7.8,-6.7,35.3,35.5,2510,1406
-7.8,-7.0,35.3,35.5,2510,1406
-7.8,-7.3,35.4,35.5,2509,1406
-7.9,-7.4,35.4,35.5,2509,1406
-7.9,-7.5,35.4,35.5,2509,1406
-7.9,-7.6,35.4,35.5,2509,1406
-7.9,-7.7,35.5,35.5,2508,1406
-7.9,-7.7,35.5,35.5,2508,1407
-7.9,-7.7,35.5,35.6,2508,1407
-8.0,-7.8,35.5,35.6,2508,1407
-8.0,-7.8,35.5,35.6,2508,1407
-8.1,-7.8,35.5,35.6,2508,1408
-8.3,-7.8,35.5,35.6,2507,1407
-8.5,-7.8,35.5,35.6,2507,1407
-8.8,-7.9,35.5,35.6,2507,1407
-9.0,-8.0,35.5,35.6,2507,1407
-9.1,-8.1,35.5,35.6,2507,1407
-9.3,-8.3,35.6,35.6,2506,1407
-9.4,-8.5,35.7,35.6,2504,1407
-9.4,-8.7,35.9,35.6,2502,1407
-9.5,-8.8,35.9,35.6,2502,1407
-9.5,-8.9,35.9,35.6,2502,1407
-9.5,-9.1,35.9,35.6,2502,1407
-9.5,-9.1,35.9,35.6,2502,1407
-9.5,-9.2,35.9,35.6,2502,1407
-9.5,-9.2,35.9,35.6,2502,1407
-9.5,-9.3,35.9,35.6,2502,1407
-9.5,-9.3,35.9,35.6,2502,1407
-9.5,-9.4,35.9,35.6,2502,1407
-9.5,-9.4,35.9,35.6,2502,1407
-9.5,-9.4,35.9,35.6,2502,1407
-9.6,-9.4,35.9,35.6,2502,1407
-9.6,-9.4,35.9,35.6,2502,1407
-9.8,-9.4,35.9,35.6,2502,1407
-10.0,-9.4,35.9,35.6,2502,1407
-10.4,-9.4,35.9,35.6,2502,1407
-10.8,-9.5,35.9,35.6,2502,1407
